case_id,difficulty,model,experiment,input_cim,generated_entities,generated_requirements_dsl,generated_design_dsl,generated_code,entity_precision,entity_recall,entity_f1,dsl_correct_rate,dsl_syntax_validity,code_correct_rate,syntax_errors,semantic_errors,business_rule_inconsistencies,execution_time_seconds,estimated_cost_usd,end_to_end_success,stage_failure_count,notes,error_category
scenario_2_editorial,medium,heuristic_baseline,A_full_pipeline,"An editorial document has sections, paragraphs, figures and references. An author writes the document and an editor reviews and validates it.",editorial;document;sections;paragraphs;figures;references;author;writes;editor;reviews;validates,"Class Document:
Attributes: editorial, sections, paragraphs, figures, references
Methods: write, review, validate
Class Section:
Class Paragraph:
Class Figure:
Class Reference:
Relation: Document association Section
Relation: Document association Paragraph",,"class Document:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self, editorial, sections, paragraphs, figures, references, section, paragraph):
        self.editorial = editorial
        self.sections = sections
        self.paragraphs = paragraphs
        self.figures = figures
        self.references = references
        self.section = section
        self.paragraph = paragraph
    def write(self):
        pass
    def review(self):
        pass
    def validate(self):
        pass

class Section:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass

class Paragraph:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass

class Figure:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass

class Reference:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass
",0.2727272727272727,0.3333333333333333,0.3,0.9333333333333333,1.0,0.5,0,0,0,7.65999939176254e-05,0.0,0,1,heuristic_dsl,quality
scenario_2_editorial,medium,heuristic_baseline,B_no_dsl,"An editorial document has sections, paragraphs, figures and references. An author writes the document and an editor reviews and validates it.",editorial;document;sections;paragraphs;figures;references;author;writes;editor;reviews;validates,,,"class Editorial:
    # Regra de negocio: Gerado diretamente do CIM sem DSL
    def __init__(self, document, sections, paragraphs, figures, references):
        self.document = document
        self.sections = sections
        self.paragraphs = paragraphs
        self.figures = figures
        self.references = references
",0.2727272727272727,0.3333333333333333,0.3,0.0,0.0,0.25,0,0,0,1.6099998902063817e-05,0.0,0,2,heuristic_direct_code,quality
scenario_2_editorial,medium,heuristic_baseline,C_multilayer_dsl,"An editorial document has sections, paragraphs, figures and references. An author writes the document and an editor reviews and validates it.",editorial;document;sections;paragraphs;figures;references;author;writes;editor;reviews;validates,"RequirementEntity: Document
RequirementEntity: Section
RequirementEntity: Paragraph
RequirementEntity: Figure
RequirementEntity: Reference
# TODO: extensão experimental; o artigo usa uma DSL intermediaria principal, nao multiplas camadas.","Class Document:
Attributes: editorial, sections, paragraphs, figures, references
Methods: write, review, validate
Class Section:
Class Paragraph:
Class Figure:
Class Reference:
Relation: Document association Section
Relation: Document association Paragraph","class Document:
    # Regra de negocio: Derivada de DSL de requisitos e design
    def __init__(self, editorial, sections, paragraphs, figures, references, section, paragraph):
        self.editorial = editorial
        self.sections = sections
        self.paragraphs = paragraphs
        self.figures = figures
        self.references = references
        self.section = section
        self.paragraph = paragraph
    def write(self):
        pass
    def review(self):
        pass
    def validate(self):
        pass

class Section:
    # Regra de negocio: Derivada de DSL de requisitos e design
    def __init__(self):
        pass

class Paragraph:
    # Regra de negocio: Derivada de DSL de requisitos e design
    def __init__(self):
        pass

class Figure:
    # Regra de negocio: Derivada de DSL de requisitos e design
    def __init__(self):
        pass

class Reference:
    # Regra de negocio: Derivada de DSL de requisitos e design
    def __init__(self):
        pass
",0.2727272727272727,0.3333333333333333,0.3,0.06666666666666667,1.0,0.5,0,0,0,6.270000449148938e-05,0.0,0,1,heuristic_multilayer_dsl,quality
scenario_2_editorial,medium,heuristic_baseline,E_generalization,"An editorial document has sections, paragraphs, figures and references. An author writes the document and an editor reviews and validates it.",editorial;document;sections;paragraphs;figures;references;author;writes;editor;reviews;validates,"Class Document:
Attributes: editorial, sections, paragraphs, figures, references
Methods: write, review, validate
Class Section:
Class Paragraph:
Class Figure:
Class Reference:
Relation: Document association Section
Relation: Document association Paragraph",,"class Document:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self, editorial, sections, paragraphs, figures, references, section, paragraph):
        self.editorial = editorial
        self.sections = sections
        self.paragraphs = paragraphs
        self.figures = figures
        self.references = references
        self.section = section
        self.paragraph = paragraph
    def write(self):
        pass
    def review(self):
        pass
    def validate(self):
        pass

class Section:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass

class Paragraph:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass

class Figure:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass

class Reference:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass
",0.2727272727272727,0.3333333333333333,0.3,0.9333333333333333,1.0,0.5,0,0,0,5.389999569160864e-05,0.0,0,1,heuristic_dsl,quality
scenario_2_editorial,medium,heuristic_baseline,F_model_comparison,"An editorial document has sections, paragraphs, figures and references. An author writes the document and an editor reviews and validates it.",editorial;document;sections;paragraphs;figures;references;author;writes;editor;reviews;validates,"Class Document:
Attributes: editorial, sections, paragraphs, figures, references
Methods: write, review, validate
Class Section:
Class Paragraph:
Class Figure:
Class Reference:
Relation: Document association Section
Relation: Document association Paragraph",,"class Document:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self, editorial, sections, paragraphs, figures, references, section, paragraph):
        self.editorial = editorial
        self.sections = sections
        self.paragraphs = paragraphs
        self.figures = figures
        self.references = references
        self.section = section
        self.paragraph = paragraph
    def write(self):
        pass
    def review(self):
        pass
    def validate(self):
        pass

class Section:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass

class Paragraph:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass

class Figure:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass

class Reference:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass
",0.2727272727272727,0.3333333333333333,0.3,0.9333333333333333,1.0,0.5,0,0,0,5.4100004490464926e-05,0.0,0,1,heuristic_dsl,quality
scenario_2_editorial,medium,heuristic_baseline,D_business_rule_change,"An editorial document has sections, paragraphs, figures and references. An author writes the document and an editor reviews and validates it.",editorial;document;sections;paragraphs;figures;references;author;writes;editor;reviews;validates,"Class Document:
Attributes: editorial, sections, paragraphs, figures, references
Methods: write, review, validate
Class Section:
Class Paragraph:
Class Figure:
Class Reference:
Relation: Document association Section
Relation: Document association Paragraph",,"class Document:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self, editorial, sections, paragraphs, figures, references, section, paragraph):
        self.editorial = editorial
        self.sections = sections
        self.paragraphs = paragraphs
        self.figures = figures
        self.references = references
        self.section = section
        self.paragraph = paragraph
    def write(self):
        pass
    def review(self):
        pass
    def validate(self):
        pass

class Section:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass

class Paragraph:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass

class Figure:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass

class Reference:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass

# Mudanca posterior: Reviewer approval is required before editor validation
# Modificacao do usuario: User added Reviewer as a class after initial generation.
",0.2727272727272727,0.3333333333333333,0.3,0.9333333333333333,1.0,0.5,0,0,0,5.8400000852998346e-05,0.0,0,1,heuristic_dsl | business_rule_change_applied,quality
scenario_3_library,complex,heuristic_baseline,A_full_pipeline,"A municipal library manages books, members and loans. A member borrows books, returns loans and may pay penalties for late returns.",municipal;library;manages;books;members;loans;member;borrows;returns;may;pay;penalties;for;late,"Class Library:
Attributes: municipal, manages, books, members, loans
Methods: manage, borrow, return, pay
Class Book:
Class Member:
Class Loan:
Relation: Library association Book
Relation: Library association Member",,"class Library:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self, municipal, manages, books, members, loans, book, member):
        self.municipal = municipal
        self.manages = manages
        self.books = books
        self.members = members
        self.loans = loans
        self.book = book
        self.member = member
    def manage(self):
        pass
    def borrow(self):
        pass
    def return(self):
        pass
    def pay(self):
        pass

class Book:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass

class Member:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass

class Loan:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass
",0.14285714285714285,0.2857142857142857,0.19047619047619047,0.8333333333333334,1.0,1.0,1,0,0,6.44999963697046e-05,0.0,0,2,heuristic_dsl,syntax
scenario_3_library,complex,heuristic_baseline,B_no_dsl,"A municipal library manages books, members and loans. A member borrows books, returns loans and may pay penalties for late returns.",municipal;library;manages;books;members;loans;member;borrows;returns;may;pay;penalties;for;late,,,"class Municipal:
    # Regra de negocio: Gerado diretamente do CIM sem DSL
    def __init__(self, library, manages, books, members, loans):
        self.library = library
        self.manages = manages
        self.books = books
        self.members = members
        self.loans = loans
",0.14285714285714285,0.2857142857142857,0.19047619047619047,0.0,0.0,0.0,0,0,0,2.4300003133248538e-05,0.0,0,2,heuristic_direct_code,quality
scenario_3_library,complex,heuristic_baseline,C_multilayer_dsl,"A municipal library manages books, members and loans. A member borrows books, returns loans and may pay penalties for late returns.",municipal;library;manages;books;members;loans;member;borrows;returns;may;pay;penalties;for;late,"RequirementEntity: Library
RequirementEntity: Book
RequirementEntity: Member
RequirementEntity: Loan
# TODO: extensão experimental; o artigo usa uma DSL intermediaria principal, nao multiplas camadas.","Class Library:
Attributes: municipal, manages, books, members, loans
Methods: manage, borrow, return, pay
Class Book:
Class Member:
Class Loan:
Relation: Library association Book
Relation: Library association Member","class Library:
    # Regra de negocio: Derivada de DSL de requisitos e design
    def __init__(self, municipal, manages, books, members, loans, book, member):
        self.municipal = municipal
        self.manages = manages
        self.books = books
        self.members = members
        self.loans = loans
        self.book = book
        self.member = member
    def manage(self):
        pass
    def borrow(self):
        pass
    def return(self):
        pass
    def pay(self):
        pass

class Book:
    # Regra de negocio: Derivada de DSL de requisitos e design
    def __init__(self):
        pass

class Member:
    # Regra de negocio: Derivada de DSL de requisitos e design
    def __init__(self):
        pass

class Loan:
    # Regra de negocio: Derivada de DSL de requisitos e design
    def __init__(self):
        pass
",0.14285714285714285,0.2857142857142857,0.19047619047619047,0.3333333333333333,1.0,1.0,1,0,0,7.390000246232376e-05,0.0,0,2,heuristic_multilayer_dsl,syntax
scenario_3_library,complex,heuristic_baseline,E_generalization,"A municipal library manages books, members and loans. A member borrows books, returns loans and may pay penalties for late returns.",municipal;library;manages;books;members;loans;member;borrows;returns;may;pay;penalties;for;late,"Class Library:
Attributes: municipal, manages, books, members, loans
Methods: manage, borrow, return, pay
Class Book:
Class Member:
Class Loan:
Relation: Library association Book
Relation: Library association Member",,"class Library:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self, municipal, manages, books, members, loans, book, member):
        self.municipal = municipal
        self.manages = manages
        self.books = books
        self.members = members
        self.loans = loans
        self.book = book
        self.member = member
    def manage(self):
        pass
    def borrow(self):
        pass
    def return(self):
        pass
    def pay(self):
        pass

class Book:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass

class Member:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass

class Loan:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass
",0.14285714285714285,0.2857142857142857,0.19047619047619047,0.8333333333333334,1.0,1.0,1,0,0,5.9100006183143705e-05,0.0,0,2,heuristic_dsl,syntax
